collaborative,description,external_urls,href,id,images,name,owner,primary_color,public,snapshot_id,tracks,type,uri
False,Los éxitos de Reggaetón del momento. Foto: Sech & Dalex.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWZjqjZMudx9T'},https://api.spotify.com/v1/playlists/37i9dQZF1DWZjqjZMudx9T,37i9dQZF1DWZjqjZMudx9T,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002225a8a96eee17cfafed72f3b', 'width': None}]",Mansión Reggaetón,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjI4Mzk5MiwwMDAwMDBkYzAwMDAwMTcwNjc3OWFjZTQwMDAwMDE3MDY0NTg3ZmQ1,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWZjqjZMudx9T/tracks', 'total': 51}",playlist,spotify:playlist:37i9dQZF1DWZjqjZMudx9T
False,Música vanguardista en una fina y breve selección.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX3PsJxMtn1AP'},https://api.spotify.com/v1/playlists/37i9dQZF1DX3PsJxMtn1AP,37i9dQZF1DX3PsJxMtn1AP,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/951b49caf49e4790be4508931a91b8c6b70e4b83', 'width': None}]",Boutique Tracks,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgyODQ1OCwwMDAwMDJhMDAwMDAwMTcwODdlZDkyYTkwMDAwMDE2YTlkOWQ1YWRh,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX3PsJxMtn1AP/tracks', 'total': 30}",playlist,spotify:playlist:37i9dQZF1DX3PsJxMtn1AP
False,Únete al party con estos hits para darle hasta que amanezca.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX9KJJbsGEwfj'},https://api.spotify.com/v1/playlists/37i9dQZF1DX9KJJbsGEwfj,37i9dQZF1DX9KJJbsGEwfj,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002a8571ffa117fa026cb656839', 'width': None}]",Fiesta! Fiesta!,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjMwNzkyNCwwMDAwMDE2MTAwMDAwMTcwNjhlNmQ5N2UwMDAwMDE2ZWEzN2Y0MGVh,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX9KJJbsGEwfj/tracks', 'total': 96}",playlist,spotify:playlist:37i9dQZF1DX9KJJbsGEwfj
False,Dulce jazz ideal para estudiar o relajarse.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX05Q6G4VDGLq'},https://api.spotify.com/v1/playlists/37i9dQZF1DX05Q6G4VDGLq,37i9dQZF1DX05Q6G4VDGLq,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/105eb757efecc441c3f584fe5a5a55978fbb0395', 'width': None}]",Jazz Tranquilo,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjc5ODg1MSwwMDAwMDAxMTAwMDAwMTcwODYyOWNjOGEwMDAwMDE2ZDg2NGM2ZTY2,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX05Q6G4VDGLq/tracks', 'total': 122}",playlist,spotify:playlist:37i9dQZF1DX05Q6G4VDGLq
False,Éxitos del trap latino. Foto: Neutro Shorty.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWUmxBdWX3Pp4'},https://api.spotify.com/v1/playlists/37i9dQZF1DWUmxBdWX3Pp4,37i9dQZF1DWUmxBdWX3Pp4,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002c559b3f14c1442db734dea06', 'width': None}]",Trapperz,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjMxODIyOCwwMDAwMDA4NDAwMDAwMTcwNjk4NDEzZjgwMDAwMDE3MDY5ODMyMDkx,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWUmxBdWX3Pp4/tracks', 'total': 93}",playlist,spotify:playlist:37i9dQZF1DWUmxBdWX3Pp4
False,Una dosis con lo más chingón pa'l gusto mexicano.,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWY7LJpmTFjnp'},https://api.spotify.com/v1/playlists/37i9dQZF1DWY7LJpmTFjnp,37i9dQZF1DWY7LJpmTFjnp,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000027f473c2c4abe6a60e10681c0', 'width': None}]",La + Chingona,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgyOTI4OCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWY7LJpmTFjnp/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWY7LJpmTFjnp
False,¡Los éxitos indie para levantar la fiesta!,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DWSXAHZTiX76o'},https://api.spotify.com/v1/playlists/37i9dQZF1DWSXAHZTiX76o,37i9dQZF1DWSXAHZTiX76o,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/065998492780abd3ca2f27d3177853311a4b31bf', 'width': None}]",Fiesta Indie,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgyOTI0MSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DWSXAHZTiX76o/tracks', 'total': 50}",playlist,spotify:playlist:37i9dQZF1DWSXAHZTiX76o
False,La nueva ola de trovadores del Siglo XXI. Foto: Arroba Nat,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DXcWcRIYY41Ix'},https://api.spotify.com/v1/playlists/37i9dQZF1DXcWcRIYY41Ix,37i9dQZF1DXcWcRIYY41Ix,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000023b6dd4026013e58e3f50d608', 'width': None}]",Cancionistas: Nuevos Autores,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgyOTI3NCwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DXcWcRIYY41Ix/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DXcWcRIYY41Ix
False,"Sonidos suaves de bossa nova para la cena,",{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX01RK16gDPtA'},https://api.spotify.com/v1/playlists/37i9dQZF1DX01RK16gDPtA,37i9dQZF1DX01RK16gDPtA,"[{'height': None, 'url': 'https://pl.scdn.co/images/pl/default/739ec9d15c2761256462ecdde2b66cd48f273b27', 'width': None}]",Cena Bossa Nova,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4Mjc5OTIxNiwwMDAwMDAxMjAwMDAwMTcwODYyZjYwNjkwMDAwMDE2Y2RjNGMyMGIx,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX01RK16gDPtA/tracks', 'total': 51}",playlist,spotify:playlist:37i9dQZF1DX01RK16gDPtA
False,Descubre a las bandas emergentes del rock mexa y anexas. Foto: BETA,{'spotify': 'https://open.spotify.com/playlist/37i9dQZF1DX3woOVffrpln'},https://api.spotify.com/v1/playlists/37i9dQZF1DX3woOVffrpln,37i9dQZF1DX3woOVffrpln,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000002fb7105e91de6b38f949ceb90', 'width': None}]",Chelas y Nuevo Rock,"{'display_name': 'Spotify', 'external_urls': {'spotify': 'https://open.spotify.com/user/spotify'}, 'href': 'https://api.spotify.com/v1/users/spotify', 'id': 'spotify', 'type': 'user', 'uri': 'spotify:user:spotify'}",,,MTU4MjgyOTI0NSwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,"{'href': 'https://api.spotify.com/v1/playlists/37i9dQZF1DX3woOVffrpln/tracks', 'total': 100}",playlist,spotify:playlist:37i9dQZF1DX3woOVffrpln
